transaction_id,timestamp,type,asset,quantity,price_usd,fee,note
EXC-1001,2024-03-01T09:00:32Z,BUY,BTC,0.5,62000.00,0.0005,
EXC-1002,2024-03-01T11:30:00Z,BUY,ETH,2.0,3400.00,0.002,
EXC-1003,2024-03-02T08:15:10Z,SELL,BTC,0.1,63200.00,0.0001,
EXC-1004,2024-03-02T14:45:00Z,TRANSFER_IN,ETH,1.0,,0.001,Received from user wallet
EXC-1005,2024-03-03T10:02:00Z,BUY,BTC,0.25,61800.00,0.00025,
EXC-1006,2024-03-03T16:20:00Z,BUY,USDT,500.00,1.00,0.5,
EXC-1007,2024-03-04T09:05:55Z,SELL,ETH,0.5,3450.00,0.0005,
EXC-1008,2024-03-04T12:00:00Z,BUY,SOL,10.0,140.00,0.01,
EXC-1009,2024-03-05T08:30:00Z,TRANSFER_IN,BTC,0.05,,0.0001,
EXC-1010,2024-03-05T15:00:00Z,BUY,ETH,1.5,3500.00,0.002,
EXC-1011,2024-03-06T10:15:00Z,SELL,SOL,5.0,145.00,0.005,
EXC-1012,2024-03-06T13:30:00Z,BUY,BTC,0.3001,62500.00,0.0003,
EXC-1013,2024-03-07T09:45:00Z,BUY,MATIC,200.0,0.95,0.2,
EXC-1014,2024-03-07T14:00:00Z,SELL,USDT,200.00,1.00,0.2,
EXC-1015,2024-03-08T11:00:00Z,BUY,ETH,0.8,3480.00,0.0008,
EXC-1016,2024-03-08T16:45:00Z,TRANSFER_IN,SOL,3.0,,0.003,
EXC-1017,2024-03-09T10:30:00Z,BUY,BTC,0.2,61500.00,0.0002,
EXC-1018,2024-03-09T17:00:00Z,SELL,ETH,0.3,3510.00,0.0003,
EXC-1019,2024-03-10T13:00:00Z,SELL,BTC,0.15,63000.00,0.00015,
EXC-1020,2024-03-11T09:00:00Z,BUY,ETH,1.0,3520.00,0.001,
EXC-1021,2024-03-11T15:20:00Z,BUY,LINK,50.0,18.00,0.05,
EXC-1022,2024-03-12T10:00:00Z,SELL,MATIC,100.0,0.97,0.1,
EXC-1023,2024-03-13T09:15:00Z,BUY,BTC,0.35,62200.00,0.00035,
EXC-1024,2024-03-13T18:00:00Z,BUY,ETH,0.6,3490.00,0.0006,Not present in user file
EXC-1025,2024-03-14T10:00:00Z,SELL,BTC,0.2,63500.00,0.0002,Not present in user file
